発電所,発電所ユニット,統合PIDコード,PIDコード,PID名,単位
上越火力発電所,共通,J__AZZZ=00D00052,00D00052,No.1ｱﾝﾓﾆｱｱｷｭｰﾑﾚｰﾀ圧力,MPa
上越火力発電所,共通,J__AZZZ=00D00053,00D00053,No.2ｱﾝﾓﾆｱｱｷｭｰﾑﾚｰﾀ圧力調節弁開度指令,%
上越火力発電所,共通,J__AZZZ=00D00054,00D00054,No.2ｱﾝﾓﾆｱｱｷｭｰﾑﾚｰﾀ圧力設定値,MPa
上越火力発電所,共通,J__AZZZ=00D00055,00D00055,No.2ｱﾝﾓﾆｱｱｷｭｰﾑﾚｰﾀ圧力,MPa
上越火力発電所,共通,J__AZZZ=00D01680,00D01680,No.1ｱﾝﾓﾆｱ気化器起動,
上越火力発電所,共通,J__AZZZ=00D01681,00D01681,No.2ｱﾝﾓﾆｱ気化器起動,
上越火力発電所,共通,J__AZZZ=00D01682,00D01682,No.1ｱﾝﾓﾆｱ気化器起動完了,
上越火力発電所,共通,J__AZZZ=00D01683,00D01683,No.2ｱﾝﾓﾆｱ気化器起動完了,
上越火力発電所,共通,J__AZZZ=00D01690,00D01690,No.1ｱﾝﾓﾆｱﾀﾝｸ出口遮断弁全閉NOT,
上越火力発電所,共通,J__AZZZ=00D01691,00D01691,No.1ｱﾝﾓﾆｱﾀﾝｸ出口遮断弁全開NOT,
上越火力発電所,共通,J__AZZZ=00D01692,00D01692,No.2ｱﾝﾓﾆｱﾀﾝｸ出口遮断弁全閉NOT,
上越火力発電所,共通,J__AZZZ=00D01693,00D01693,No.2ｱﾝﾓﾆｱﾀﾝｸ出口遮断弁全開NOT,
上越火力発電所,共通,J__AZZZ=00D01694,00D01694,No.1-No.2ｱﾝﾓﾆｱﾀﾝｸ出口連絡弁全閉NOT,
上越火力発電所,共通,J__AZZZ=00D01695,00D01695,No.1-No.2ｱﾝﾓﾆｱﾀﾝｸ出口連絡弁全開NOT,
上越火力発電所,共通,J__AZZZ=00D01704,00D01704,No.1ｱﾝﾓﾆｱ気化器待機,
上越火力発電所,共通,J__AZZZ=00D01705,00D01705,No.1ｱﾝﾓﾆｱ気化器待機完了,
上越火力発電所,共通,J__AZZZ=00D01706,00D01706,No.1ｱﾝﾓﾆｱ気化器停止,
上越火力発電所,共通,J__AZZZ=00D01707,00D01707,No.2ｱﾝﾓﾆｱ気化器待機,
上越火力発電所,共通,J__AZZZ=00D01708,00D01708,No.2ｱﾝﾓﾆｱ気化器待機完了,
上越火力発電所,共通,J__AZZZ=00D01709,00D01709,No.2ｱﾝﾓﾆｱ気化器停止,
上越火力発電所,共通,J__AZZZ=00D01711,00D01711,No.1ｱﾝﾓﾆｱﾀﾝｸ除害散水弁全閉NOT,
上越火力発電所,共通,J__AZZZ=00D01712,00D01712,No.1ｱﾝﾓﾆｱﾀﾝｸ除害散水弁全開NOT,
上越火力発電所,共通,J__AZZZ=00D01713,00D01713,No.2ｱﾝﾓﾆｱﾀﾝｸ除害散水弁全閉NOT,
上越火力発電所,共通,J__AZZZ=00D01714,00D01714,No.2ｱﾝﾓﾆｱﾀﾝｸ除害散水弁全開NOT,
上越火力発電所,共通,J__AZZZ=00D01716,00D01716,ｱﾝﾓﾆｱ装置除害散水弁開,
上越火力発電所,共通,J__AZZZ=00D01733,00D01733,No.1ｱﾝﾓﾆｱﾀﾝｸﾛｰﾘ除害散水弁全閉NOT,
