INTEGRATION_PID_CODE,MEAS_DATETIME,KKS_UNIT_CODE,PID_CODE,PID_NAME,SI_UNIT,LOWER_LIMIT_NUMBER,UPPER_LIMIT_NUMBER,OFF_STATUS_NAME,ON_STATUS_NAME,DATA_CLASS_CODE,MEAS_NAME,DB_NAME,PLANT_CODE,UNIT_NAME,PRELIM_CODE,ALARM_FLAG,DECIMAL_POINT_NUMBER,MEAS_VALUE,QUALITY_NUMBER,CORR_PID_NAME,SDR_SI_UNIT,SDR_XFORM_COEF,CORR_COEF,CORR_MEAS_VALUE,CORR_LOWER_LIMIT_NUMBER,CORR_UPPER_LIMIT_NUMBER,REG_PROJ_NAME,DELETE_FLAG,VALUE_CLASS_NAME,INPUT_TYPE_CLASS,DRAWING_NUMBER,STAT_CALC_VALUE_CLASS,ADDITION_GRANULARITY_CLASS,FUEL_TYPE_CLASS,VALUE_TYPE_CLASS,FETCH_POINT_TEXT,VALUE_RANGE_TEXT,VALUE_OUTPUT_COND_TEXT,INFLUX_LINK_NUMBER,INFLUX_LINK_FLAG,PLANT_LINK_ORDER_FLAG,PLANT_LINK_FLAG,CREATE_AT,UPDATE_AT,PROCESS_AT,PROCESS_ID,JST_TIME
J__AZZZ=00D00038,2025-03-30 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,951.7578125,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-03-30 00:00:50.481 +0900,,2025-03-30 00:02:00.743 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-03-30 00:00:00.000 +0900
J__AZZZ=00D00038,2025-03-31 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,921.6796875,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-03-31 00:00:50.598 +0900,,2025-03-31 00:02:00.990 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-03-31 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-01 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,899.8046875,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-01 00:00:49.830 +0900,,2025-04-01 00:02:00.978 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-01 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-02 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,869.53125,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-02 00:00:50.149 +0900,,2025-04-02 00:02:01.223 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-02 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-03 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,866.796875,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-03 00:00:50.261 +0900,,2025-04-03 00:02:00.945 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-03 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-04 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,841.015625,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-04 00:00:50.458 +0900,,2025-04-04 00:02:01.304 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-04 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-05 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,810.7421875,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-05 00:00:50.319 +0900,,2025-04-05 00:02:00.799 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-05 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-06 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,786.328125,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-06 00:00:50.167 +0900,,2025-04-06 00:02:00.872 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-06 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-07 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,766.40625,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-07 00:00:50.703 +0900,,2025-04-07 00:02:00.856 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-07 00:00:00.000 +0900
J__AZZZ=00D00038,2025-04-08 00:00:00.000 +0900,J__AZZZ,00D00038,No.1ｱﾝﾓﾆｱﾀﾝｸﾚﾍﾞﾙ,mm,0,2500,,,A,34_01_A,Joetsu,J,34_01,false,,1,1446.6796875,0,,,,,,,,,false,,,,,,,,,,,,,,,2025-04-08 00:00:50.527 +0900,,2025-04-08 00:02:00.919 +0900,USP_DW_T_PLANT_IOTDATA_INTEGRATION_PID,2025-04-08 00:00:00.000 +0900
