セクション名,カード名,URL,data-link-id
試行したい,ミニロボ,https://jeragroup.sharepoint.com/sites/Jenny1/SitePages/%E3%83%9F%E3%83%8B%E3%83%AD%E3%83%9C.aspx,try-mini
試行したい,サンプルロボ,https://jeragroup.sharepoint.com/sites/Jenny1/SitePages/%E9%96%8B%E3%81%8F%E3%81%A0%E3%81%91%E3%81%A7%E4%BD%BF%E3%81%88%E3%82%8B%E3%82%B5%E3%83%B3%E3%83%97%E3%83%AB%E3%83%AD%E3%83%9C.aspx,try-sample
試行したい,教育コンテンツ,https://jeragroup.sharepoint.com/sites/Jenny1/SitePages/%E6%95%99%E8%82%B2%E3%82%B3%E3%83%B3%E3%83%86%E3%83%B3%E3%83%84.aspx,try-edu
ハンズオン研修,Studio入門コース,https://jeragroup.sharepoint.com/sites/Jenny1/SitePages/%E3%83%8F%E3%83%B3%E3%82%BA%E3%82%AA%E3%83%B3_Studio%E5%85%A5%E9%96%80.aspx,training-intro
ハンズオン研修,Studio初級コース,https://jeragroup.sharepoint.com/sites/Jenny1/SitePages/%E3%83%8F%E3%83%B3%E3%82%BA%E3%82%AA%E3%83%B3_Studio%E5%88%9D%E7%B4%9A.aspx,training-beginner
ハンズオン研修,Studio中級コース,https://jeragroup.sharepoint.com/sites/Jenny1/SitePages/%E3%83%8F%E3%83%B3%E3%82%BA%E3%82%AA%E3%83%B3_Studio%E4%B8%AD%E7%B4%9A.aspx,training-intermediate
ハンズオン研修,Studio上級コース,https://jeragroup.sharepoint.com/sites/Jenny1/SitePages/%E3%83%8F%E3%83%B3%E3%82%BA%E3%82%AA%E3%83%B3_Studio%E4%B8%8A%E7%B4%9A.aspx,training-advanced
ハンズオン研修,VM初級コース,https://jeragroup.sharepoint.com/sites/Jenny1/SitePages/%E3%83%8F%E3%83%B3%E3%82%BA%E3%82%AA%E3%83%B3_VM%E5%88%9D%E7%B4%9A.aspx,training-vm-beginner
ハンズオン研修,Orchestrator初級コース,https://jeragroup.sharepoint.com/sites/Jenny1/SitePages/%E3%83%8F%E3%83%B3%E3%82%BA%E3%82%AA%E3%83%B3_OC%E5%88%9D%E7%B4%9A.aspx,training-vm-intermediate
ハンズオン研修,社内インターンシップ,https://jeragroup.sharepoint.com/sites/JE_Dep010_JA010_B070_D1010/SitePages/%E3%82%B3%E3%83%BC%E3%83%9D%E3%83%AC%E3%83%BC%E3%83%88%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%BD%E3%83%AA%E3%83%A5%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E9%83%A8%20%E6%94%AF%E7%A4%BEIT%E3%82%BD%E3%83%AA%E3%83%A5%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3U.aspx,training-internship
ハンズオン研修,AIモデル体感コース,https://jeragroup.sharepoint.com/sites/Jenny1/SitePages/AI%E3%83%A2%E3%83%87%E3%83%AB%E4%BD%93%E6%84%9F%E3%82%B3%E3%83%BC%E3%82%B9.aspx,training-ai-dev
開発したい,本番稼働までの開発フロー,https://jeragroup.sharepoint.com/sites/Jenny1/SitePages/%E9%96%8B%E7%99%BA%E3%83%95%E3%83%AD%E3%83%BC.aspx,dev-flow
開発したい,開発フェーズ,https://jeragroup.sharepoint.com/sites/Jenny1/SitePages/%E9%96%8B%E7%99%BA.aspx,dev-phase
開発したい,プレ本番フェーズ,https://jeragroup.sharepoint.com/sites/Jenny1/SitePages/%E3%83%97%E3%83%AC%E6%9C%AC%E7%95%AA.aspx,dev-preprod
開発したい,本番フェーズ,https://jeragroup.sharepoint.com/sites/Jenny1/SitePages/%E6%9C%AC%E7%95%AA.aspx,dev-prod
対話したい,お知らせ,https://teams.microsoft.com/l/channel/19%3A7f962b3106274dd59cc2c87ba635195d%40thread.skype/%E4%B8%80%E8%88%AC?groupId=fdd51f03-758e-4c95-9b3c-341e89a8d100&tenantId=2840389b-0f81-496f-b742-ac794a5da61e,dialogue-news
対話したい,質問,https://teams.microsoft.com/l/channel/19%3A40ade30deafc426db723a464335bf45e%40thread.skype/01_%E8%B3%AA%E5%95%8F?groupId=fdd51f03-758e-4c95-9b3c-341e89a8d100&tenantId=2840389b-0f81-496f-b742-ac794a5da61e,dialogue-qa
対話したい,Viva_Engage,https://engage.cloud.microsoft/main/org/jeragroup.onmicrosoft.com/groups/eyJfdHlwZSI6Ikdyb3VwIiwiaWQiOiIxNjM0NDE5OTE2ODAifQ,dialogue-viva
