MONTH,WEEK,HOUR,TEMP
11.0,0.0,9.0,10.8
11.0,0.0,10.0,11.6
11.0,0.0,11.0,12.8
11.0,0.0,12.0,13.4
11.0,0.0,13.0,13.9
11.0,0.0,14.0,13.8
11.0,0.0,15.0,12.8
11.0,0.0,16.0,11.6
11.0,0.0,17.0,10.0
11.0,0.0,18.0,11.6
11.0,0.0,19.0,10.2
11.0,0.0,20.0,9.4
11.0,0.0,21.0,10.6
11.0,0.0,22.0,8.3
11.0,0.0,23.0,8.3
11.0,1.0,0.0,8.7
11.0,1.0,1.0,7.4
11.0,1.0,2.0,6.4
11.0,1.0,3.0,6.5
11.0,1.0,4.0,6.2
11.0,1.0,5.0,6.4
11.0,1.0,6.0,6.0
11.0,1.0,7.0,6.1
11.0,1.0,8.0,7.0
11.0,1.0,9.0,9.6
11.0,1.0,10.0,11.7
11.0,1.0,11.0,12.9
11.0,1.0,12.0,13.1
11.0,1.0,13.0,14.0
11.0,1.0,14.0,13.2
11.0,1.0,15.0,13.0
11.0,1.0,16.0,12.4
11.0,1.0,17.0,12.6
11.0,1.0,18.0,12.2
11.0,1.0,19.0,12.3
11.0,1.0,20.0,12.0
11.0,1.0,21.0,10.5
11.0,1.0,22.0,9.3
11.0,1.0,23.0,9.7
11.0,2.0,0.0,9.3
11.0,2.0,1.0,9.8
11.0,2.0,2.0,10.1
11.0,2.0,3.0,10.5
11.0,2.0,4.0,10.9
11.0,2.0,5.0,11.0
11.0,2.0,6.0,11.1
11.0,2.0,7.0,11.3
11.0,2.0,8.0,12.5
11.0,2.0,9.0,13.7
11.0,2.0,10.0,15.7
11.0,2.0,11.0,17.3
11.0,2.0,12.0,18.3
11.0,2.0,13.0,19.0
11.0,2.0,14.0,19.6
11.0,2.0,15.0,19.7
11.0,2.0,16.0,17.7
11.0,2.0,17.0,16.8
11.0,2.0,18.0,15.9
11.0,2.0,19.0,15.2
11.0,2.0,20.0,15.9
11.0,2.0,21.0,15.5
11.0,2.0,22.0,13.5
11.0,2.0,23.0,14.4
11.0,3.0,0.0,13.0
11.0,3.0,1.0,14.2
11.0,3.0,2.0,13.9
11.0,3.0,3.0,11.9
11.0,3.0,4.0,11.4
11.0,3.0,5.0,12.4
11.0,3.0,6.0,11.7
11.0,3.0,7.0,9.7
11.0,3.0,8.0,12.4
11.0,3.0,9.0,14.9
11.0,3.0,10.0,16.2
11.0,3.0,11.0,17.0
11.0,3.0,12.0,17.6
11.0,3.0,13.0,17.6
11.0,3.0,14.0,16.6
11.0,3.0,15.0,15.4
11.0,3.0,16.0,14.3
11.0,3.0,17.0,13.5
11.0,3.0,18.0,12.6
11.0,3.0,19.0,11.6
11.0,3.0,20.0,11.0
11.0,3.0,21.0,10.9
11.0,3.0,22.0,10.4
11.0,3.0,23.0,10.2
11.0,4.0,0.0,10.0
11.0,4.0,1.0,10.0
11.0,4.0,2.0,9.5
11.0,4.0,3.0,10.5
11.0,4.0,4.0,9.7
11.0,4.0,5.0,9.3
11.0,4.0,6.0,8.9
11.0,4.0,7.0,8.4
11.0,4.0,8.0,10.7
11.0,4.0,9.0,12.4
11.0,4.0,10.0,14.5
11.0,4.0,11.0,14.5
11.0,4.0,12.0,15.5
11.0,4.0,13.0,16.1
11.0,4.0,14.0,15.4
11.0,4.0,15.0,15.0
11.0,4.0,16.0,13.1
11.0,4.0,17.0,13.0
11.0,4.0,18.0,12.4
11.0,4.0,19.0,11.3
11.0,4.0,20.0,9.8
11.0,4.0,21.0,9.1
11.0,4.0,22.0,8.3
11.0,4.0,23.0,8.3
11.0,5.0,0.0,8.4
11.0,5.0,1.0,7.0
11.0,5.0,2.0,5.9
11.0,5.0,3.0,7.1
11.0,5.0,4.0,6.6
11.0,5.0,5.0,6.9
11.0,5.0,6.0,6.4
11.0,5.0,7.0,6.2
11.0,5.0,8.0,7.6
11.0,5.0,9.0,10.5
11.0,5.0,10.0,13.2
11.0,5.0,11.0,15.1
11.0,5.0,12.0,15.4
11.0,5.0,13.0,16.0
11.0,5.0,14.0,14.4
11.0,5.0,15.0,14.7
11.0,5.0,16.0,13.2
11.0,5.0,17.0,11.0
11.0,5.0,18.0,11.0
